SNR	SPKR	DIGITS_SEQ	RULE	WER	CONF_INT	NUMS
SNR05db	man	seq1digit_200_files	3digits	85.500	4.879868645773162	200
SNR05db	man	seq1digit_200_files	5digits	87.500	4.583530298798078	200
SNR05db	man	seq1digit_200_files	loop	101.000	(8.528695645352617e-17+1.3928416995480863j)	200
SNR05db	man	seq1digit_200_files	ngram	84.000	5.080900707551763	200
SNR05db	man	seq3digits_100_files	3digits	58.667	5.57238158516853	300
SNR05db	man	seq3digits_100_files	5digits	74.000	4.963613737322168	300
SNR05db	man	seq3digits_100_files	loop	76.667	4.78613527459529	300
SNR05db	man	seq3digits_100_files	ngram	87.333	3.763756501873096	300
SNR05db	man	seq5digits_100_files	3digits	59.800	4.297686060195649	500
SNR05db	man	seq5digits_100_files	5digits	46.000	4.368646106060779	500
SNR05db	man	seq5digits_100_files	loop	60.800	4.279232589144928	500
SNR05db	man	seq5digits_100_files	ngram	81.400	3.410670334113222	500
SNR15db	man	seq1digit_200_files	3digits	71.500	6.256284999902098	200
SNR15db	man	seq1digit_200_files	5digits	76.500	5.876323850844165	200
SNR15db	man	seq1digit_200_files	loop	83.500	5.144299952374473	200
SNR15db	man	seq1digit_200_files	ngram	53.000	6.917161845728346	200
SNR15db	man	seq3digits_100_files	3digits	7.333	2.949842566204509	300
SNR15db	man	seq3digits_100_files	5digits	32.000	5.2786745811172455	300
SNR15db	man	seq3digits_100_files	loop	34.333	5.373099818670038	300
SNR15db	man	seq3digits_100_files	ngram	49.667	5.657907153950596	300
SNR15db	man	seq5digits_100_files	3digits	42.400	4.3317685035098545	500
SNR15db	man	seq5digits_100_files	5digits	5.200	1.9461526846576043	500
SNR15db	man	seq5digits_100_files	loop	25.800	3.8351545929727524	500
SNR15db	man	seq5digits_100_files	ngram	41.000	4.311108998854007	500
SNR25db	man	seq1digit_200_files	3digits	55.000	6.8949111669404415	200
SNR25db	man	seq1digit_200_files	5digits	59.000	6.816461838813447	200
SNR25db	man	seq1digit_200_files	loop	71.500	6.256284999902098	200
SNR25db	man	seq1digit_200_files	ngram	35.000	6.6104614059837	200
SNR25db	man	seq3digits_100_files	3digits	2.000	1.584249138656333	300
SNR25db	man	seq3digits_100_files	5digits	16.333	4.183170089464686	300
SNR25db	man	seq3digits_100_files	loop	25.000	4.9	300
SNR25db	man	seq3digits_100_files	ngram	38.000	5.4926646842250735	300
SNR25db	man	seq5digits_100_files	3digits	41.600	4.32040199611101	500
SNR25db	man	seq5digits_100_files	5digits	2.200	1.285736097338797	500
SNR25db	man	seq5digits_100_files	loop	17.200	3.307885444207523	500
SNR25db	man	seq5digits_100_files	ngram	31.400	4.0681593046487246	500
SNR35db	man	seq1digit_200_files	3digits	43.000	6.861399857172004	200
SNR35db	man	seq1digit_200_files	5digits	43.000	6.861399857172004	200
SNR35db	man	seq1digit_200_files	loop	56.000	6.879572079715423	200
SNR35db	man	seq1digit_200_files	ngram	35.500	6.6318563012176295	200
SNR35db	man	seq3digits_100_files	3digits	1.333	1.2977662645453534	300
SNR35db	man	seq3digits_100_files	5digits	9.000	3.2384514818042276	300
SNR35db	man	seq3digits_100_files	loop	16.667	4.217282270221586	300
SNR35db	man	seq3digits_100_files	ngram	36.000	5.431711332536	300
SNR35db	man	seq5digits_100_files	3digits	40.600	4.304545556501871	500
SNR35db	man	seq5digits_100_files	5digits	1.200	0.9544213912104024	500
